name,tradition
Mary,western
Patricia,western
Jennifer,western
Linda,western
Elizabeth,western
Barbara,western
Susan,western
Jessica,western
Sarah,western
Karen,western
Nancy,western
Lisa,western
Margaret,western
Betty,western
Sandra,western
Ashley,western
Kimberly,western
Emily,western
Donna,western
Michelle,western
Carol,western
Amanda,western
Melissa,western
Deborah,western
Stephanie,western
Rebecca,western
Sharon,western
Laura,western
Cynthia,western
Kathleen,western
Amy,western
Shirley,western
Angela,western
Helen,western
Anna,western
Brenda,western
Pamela,western
Nicole,western
Samantha,western
Katherine,western
Christine,western
Debra,western
Rachel,western
Carolyn,western
Janet,western
Emma,western
Olivia,western
Charlotte,western
Sophia,western
Amelia,western
Aisha,arabic
Fatima,arabic
Khadija,arabic
Maryam,arabic
Amina,arabic
Layla,arabic
Noor,arabic
Zainab,arabic
Safiya,arabic
Hafsa,arabic
Sumaya,arabic
Huda,arabic
Yasmin,arabic
Zahra,arabic
Mariam,arabic
Rania,arabic
Dalia,arabic
Amira,arabic
Nadia,arabic
Sana,arabic
Samira,arabic
Farah,arabic
Leila,arabic
Amal,arabic
Iman,arabic
Inaya,arabic
Jannah,arabic
Jamila,arabic
Aaliyah,arabic
Abeer,arabic
Ahlam,arabic
Alia,arabic
Anisa,arabic
Arwa,arabic
Asma,arabic
Ayah,arabic
Basma,arabic
Bushra,arabic
Dina,arabic
Eman,arabic
Fadila,arabic
Faiza,arabic
Hanan,arabic
Hiba,arabic
Isra,arabic
Lubna,arabic
Maha,arabic
Malika,arabic
Muna,arabic
Naima,arabic


