name,tradition
James,western
John,western
Robert,western
Michael,western
William,western
David,western
Richard,western
Joseph,western
Thomas,western
Charles,western
Christopher,western
Daniel,western
Matthew,western
Anthony,western
Mark,western
Donald,western
Steven,western
Paul,western
Andrew,western
Joshua,western
Kenneth,western
Kevin,western
Brian,western
George,western
Edward,western
Ronald,western
Timothy,western
Jason,western
Jeffrey,western
Ryan,western
Jacob,western
Gary,western
Nicholas,western
Eric,western
Stephen,western
Jonathan,western
Larry,western
Justin,western
Scott,western
Brandon,western
Benjamin,western
Samuel,western
Gregory,western
Alexander,western
Patrick,western
Frank,western
Raymond,western
Jack,western
Dennis,western
Jerry,western
Muhammad,arabic
Ahmed,arabic
Ali,arabic
Omar,arabic
Hassan,arabic
Hussein,arabic
Khalid,arabic
Abdullah,arabic
Ibrahim,arabic
Yusuf,arabic
Hamza,arabic
Bilal,arabic
Kareem,arabic
Tarek,arabic
Tariq,arabic
Samir,arabic
Nabil,arabic
Faisal,arabic
Faris,arabic
Mahdi,arabic
Malik,arabic
Mustafa,arabic
Ismail,arabic
Salman,arabic
Saif,arabic
Zaid,arabic
Rami,arabic
Adil,arabic
Amir,arabic
Anwar,arabic
Bashir,arabic
Fadi,arabic
Hadi,arabic
Jamil,arabic
Jamal,arabic
Karim,arabic
Majid,arabic
Mansour,arabic
Marwan,arabic
Munir,arabic
Nasir,arabic
Qasim,arabic
Rafiq,arabic
Rashid,arabic
Sami,arabic
Sameer,arabic
Suleiman,arabic
Yasin,arabic
Zakariya,arabic
Zubair,arabic


